SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
09000001,9,4.35,6.5,-1,-1,-1,-1,5.25,5.5,-1,-1,-1,-1,-1,21.6
09000002,9,5.1,8.25,5.75,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,27.85
09000003,9,8.5,8.25,-1,7.75,6.25,-1,-1,-1,-1,-1,-1,-1,-1,30.75
09000004,9,4.75,2.25,-1,-1,-1,-1,6.85,7.1,-1,-1,-1,-1,-1,20.95
09000005,9,6.25,8.75,-1,-1,-1,-1,9,9.5,-1,-1,-1,-1,-1,33.5
09000006,9,6.5,7.75,-1,-1,-1,-1,8.5,8.5,-1,-1,-1,-1,-1,31.25
09000007,9,7,7.75,5.75,-1,-1,-1,8,-1,-1,-1,-1,-1,-1,28.5
09000008,9,8,7,6.5,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.25
09000009,9,2.1,3.25,-1,-1,-1,-1,-1,4.35,-1,-1,-1,5.85,-1,15.55
09000010,9,3.25,5.25,-1,-1,-1,-1,-1,3.6,-1,-1,-1,8,-1,20.1
09000011,9,6.5,7.25,-1,-1,6,6.1,-1,-1,-1,-1,-1,-1,-1,25.85
09000012,9,8,7.5,6.75,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31
09000013,9,5.85,8.75,-1,-1,-1,-1,9.75,10,-1,-1,-1,-1,-1,34.35
09000014,9,2.6,5.25,-1,-1,-1,-1,5,5.85,-1,-1,-1,-1,-1,18.7
09000015,9,7.75,7,-1,-1,7.25,7.6,-1,-1,-1,-1,-1,-1,-1,29.6
09000016,9,4.25,7.75,-1,-1,-1,-1,7,5.85,-1,-1,-1,-1,-1,24.85
09000017,9,6.25,7.75,-1,-1,-1,-1,7,7.5,-1,-1,-1,-1,-1,28.5
09000018,9,5.25,8,-1,-1,-1,-1,8.5,8.5,-1,-1,-1,-1,-1,30.25
09000019,9,7.5,7.5,8.75,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,32.25
09000020,9,6.75,8.5,7.25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,31.5
09000021,9,6.25,8.25,-1,7.25,5,-1,-1,-1,-1,-1,-1,-1,-1,26.75
09000022,9,3.25,4,-1,-1,-1,-1,6.85,5.5,-1,-1,-1,-1,-1,19.6
09000023,9,7.5,8,-1,8.25,7.75,-1,-1,-1,-1,-1,-1,-1,-1,31.5
09000024,9,5.25,8,-1,-1,-1,-1,9.5,8.5,-1,-1,-1,-1,-1,31.25
09000025,9,4.6,8.5,-1,-1,-1,-1,9.5,10,-1,-1,-1,-1,-1,32.6
09000026,9,3.75,5.75,-1,-1,-1,-1,4.35,2.6,-1,-1,-1,-1,-1,16.45
09000027,9,4.25,8.25,-1,-1,-1,-1,9,8.5,-1,-1,-1,-1,-1,30
09000028,9,4.35,5.25,-1,-1,-1,-1,6.1,6.1,-1,-1,-1,-1,-1,21.8
09000029,9,2.35,4,-1,-1,-1,-1,-1,2.35,-1,-1,-1,6.5,-1,15.2
09000030,9,4.5,5.5,-1,-1,-1,-1,-1,3.25,-1,-1,-1,6.5,-1,19.75
09000031,9,6.5,8,6.75,-1,-1,6.5,-1,-1,-1,-1,-1,-1,-1,27.75
09000032,9,6.75,9,-1,-1,-1,-1,9,10,-1,-1,-1,-1,-1,34.75
09000033,9,3.6,7.75,-1,-1,-1,-1,7,9.25,-1,-1,-1,-1,-1,27.6
09000034,9,5.1,7.75,-1,-1,-1,-1,7.25,9.5,-1,-1,-1,-1,-1,29.6
09000035,9,8.5,7.25,-1,10,8.25,-1,-1,-1,-1,-1,-1,-1,-1,34
09000036,9,3.25,5.25,-1,-1,-1,-1,5.1,4.25,-1,-1,-1,-1,-1,17.85
09000037,9,4.35,7,6,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.35
09000038,9,4.25,7.25,-1,-1,-1,-1,6.6,7,-1,-1,-1,-1,-1,25.1
09000039,9,5.5,6.5,-1,6.75,6.25,-1,-1,-1,-1,-1,-1,-1,-1,25
09000040,9,5.25,7.75,-1,-1,-1,-1,10,10,-1,-1,-1,-1,-1,33
09000041,9,7,8.5,-1,8.75,7,-1,-1,-1,-1,-1,-1,-1,-1,31.25
09000042,9,8,5.75,-1,10,8.5,-1,-1,-1,-1,-1,-1,-1,-1,32.25
09000043,9,7,8.5,7.25,-1,-1,-1,-1,7.35,-1,-1,-1,-1,-1,30.1
09000044,9,6.75,7,5,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,27.25
09000045,9,2.35,3.75,-1,-1,-1,-1,5.6,5,-1,-1,-1,-1,-1,16.7
09000046,9,3.45,5.5,-1,-1,-1,-1,6.1,4.75,-1,-1,-1,-1,-1,19.8
09000047,9,4.5,7.25,6.5,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,25.75
09000048,9,6,3.75,-1,-1,-1,-1,-1,4.1,-1,-1,-1,7.25,-1,21.1
09000049,9,4,4.75,-1,-1,-1,-1,7,6.75,-1,-1,-1,-1,-1,22.5
09000050,9,4.75,6.75,4.75,6.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,22.85
09000051,9,3.7,2.75,-1,-1,-1,-1,4,5.35,-1,-1,-1,-1,-1,15.8
09000052,9,6.5,8,5,-1,-1,-1,9,-1,-1,-1,-1,-1,-1,28.5
09000053,9,3.85,6.5,-1,-1,-1,-1,4.75,5.85,-1,-1,-1,-1,-1,20.95
09000054,9,4.45,7.5,-1,7.5,6.6,-1,-1,-1,-1,-1,-1,-1,-1,26.05
09000055,9,7.25,8.75,3.75,-1,-1,-1,9.5,-1,-1,-1,-1,-1,-1,29.25
09000056,9,4,2.5,-1,-1,-1,-1,6.25,4.1,-1,-1,-1,-1,-1,16.85
09000057,9,2.1,5.5,-1,-1,-1,-1,7,8,-1,-1,-1,-1,-1,22.6
09000058,9,4.25,8.75,-1,-1,-1,-1,7.5,9.75,-1,-1,-1,-1,-1,30.25
09000059,9,4.85,9,-1,-1,-1,-1,8.75,8.75,-1,-1,-1,-1,-1,31.35
09000060,9,5.75,6.5,-1,6.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,25.5
09000061,9,4.75,6.25,-1,-1,-1,-1,-1,8.75,-1,-1,-1,9.5,-1,29.25
09000062,9,6,7.5,5.75,-1,6.1,-1,-1,-1,-1,-1,-1,-1,-1,25.35
09000063,9,4.75,5.5,-1,-1,-1,-1,6.5,7.5,-1,-1,-1,-1,-1,24.25
09000064,9,4.75,6.25,-1,-1,-1,-1,5.1,5.35,-1,-1,-1,-1,-1,21.45
09000065,9,6.75,7.5,-1,7.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,28.5
09000066,9,3.6,7,-1,-1,-1,-1,-1,6,-1,-1,-1,8.75,-1,25.35
09000067,9,6.75,7.5,5.75,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,28.75
09000068,9,9,6.75,-1,8.5,8,-1,-1,-1,-1,-1,-1,-1,-1,32.25
09000069,9,2.75,4.75,-1,-1,-1,-1,-1,5.7,-1,-1,-1,8.25,-1,21.45
09000070,9,3.35,6,-1,-1,-1,-1,7.75,5.75,-1,-1,-1,-1,-1,22.85
09000071,9,6.1,7.75,5.5,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,26.85
09000072,9,4.5,9,5,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,27.25
09000073,9,5.25,8.75,-1,-1,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,32.75
09000074,9,2.1,5.25,-1,-1,-1,-1,-1,4.25,-1,-1,-1,8.5,-1,20.1
09000075,9,1.35,3.75,-1,-1,-1,-1,4.6,4.7,-1,-1,-1,-1,-1,14.4
