SBD,TinhId,TOAN,VAN,NGOAI_NGU,LI,HOA,SINH,SU,DIA,GIAO_DUC_CONG_DAN,TIN_HOC,CN_CONG_NGHIEP,CN_NONG_NGHIEP,GDKT_PL,TONGDIEM
36000001,36,8.5,6.5,-1,-1,10,9.5,-1,-1,-1,-1,-1,-1,-1,34.5
36000002,36,3.6,6.75,-1,-1,-1,-1,5.25,6.5,-1,-1,-1,-1,-1,22.1
36000003,36,7.5,8,6,8.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,30
36000004,36,3.25,5.5,-1,-1,-1,-1,5.6,5.75,-1,-1,-1,-1,-1,20.1
36000005,36,4.75,6.75,-1,-1,-1,-1,7,-1,-1,-1,-1,-1,9,27.5
36000006,36,6.5,7.5,5.75,-1,-1,-1,8.75,-1,-1,-1,-1,-1,-1,28.5
36000007,36,4.75,8,5.25,6.25,-1,-1,-1,-1,-1,-1,-1,-1,-1,24.25
36000008,36,6.35,7.75,5,-1,-1,-1,8.5,-1,-1,-1,-1,-1,-1,27.6
36000009,36,6.35,7.75,7.5,-1,-1,-1,7.1,-1,-1,-1,-1,-1,-1,28.7
36000010,36,6.75,6.75,9,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.5
36000011,36,4.6,5,-1,-1,-1,-1,7.25,6.6,-1,-1,-1,-1,-1,23.45
36000012,36,5.6,8.5,6,-1,-1,-1,-1,8.25,-1,-1,-1,-1,-1,28.35
36000013,36,6.35,8,7,-1,-1,-1,8.1,-1,-1,-1,-1,-1,-1,29.45
36000014,36,3.35,5,-1,-1,-1,-1,4,5.25,-1,-1,-1,-1,-1,17.6
36000015,36,2.1,6.5,-1,-1,-1,-1,7,7.25,-1,-1,-1,-1,-1,22.85
36000016,36,2.95,5.5,-1,-1,-1,-1,4.1,4.2,-1,-1,-1,-1,-1,16.75
36000017,36,2.35,4,-1,-1,-1,-1,-1,4.1,-1,-1,-1,-1,5.75,16.2
36000018,36,6.5,5.5,8.25,7.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,28
36000019,36,8.5,7.5,-1,9.5,9.5,-1,-1,-1,-1,-1,-1,-1,-1,35
36000020,36,4.5,8.5,-1,4.85,-1,-1,6.25,-1,-1,-1,-1,-1,-1,24.1
36000021,36,2.75,2.25,-1,-1,-1,-1,3.75,2.35,-1,-1,-1,-1,-1,11.1
36000022,36,3.25,6.25,-1,-1,-1,-1,6.25,7.85,-1,-1,-1,-1,-1,23.6
36000023,36,4,5,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,8.25,25.75
36000024,36,8.25,8.5,-1,8.5,9.25,-1,-1,-1,-1,-1,-1,-1,-1,34.5
36000025,36,5.75,7.25,5.25,7,-1,-1,-1,-1,-1,-1,-1,-1,-1,25.25
36000026,36,8,6.5,6.5,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,29.75
36000027,36,6.25,7.5,-1,9.25,9,-1,-1,-1,-1,-1,-1,-1,-1,32
36000028,36,4.2,6.5,-1,-1,-1,-1,6.5,8.25,-1,-1,-1,-1,-1,25.45
36000029,36,4,5.25,-1,-1,-1,-1,-1,7.75,-1,-1,-1,-1,8.25,25.25
36000030,36,7,8,5.5,-1,-1,-1,8.25,-1,-1,-1,-1,-1,-1,28.75
36000031,36,2.1,3.5,-1,-1,-1,-1,-1,3.1,-1,-1,-1,-1,5.2,13.9
36000032,36,4.45,7.5,8,7.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,27.45
36000033,36,6.25,8.5,6,-1,-1,-1,-1,10,-1,-1,-1,-1,-1,30.75
36000034,36,8.25,8.75,-1,-1,9.75,9,-1,-1,-1,-1,-1,-1,-1,35.75
36000035,36,4.1,7.5,-1,-1,-1,-1,4.35,-1,-1,-1,-1,-1,6.6,22.55
36000036,36,9,6,-1,9.5,8.25,-1,-1,-1,-1,-1,-1,-1,-1,32.75
36000037,36,3,6,-1,-1,-1,-1,5.75,6.25,-1,-1,-1,-1,-1,21
36000038,36,2.95,5.5,-1,-1,-1,-1,5.25,6.5,-1,-1,-1,-1,-1,20.2
36000039,36,3.25,7,-1,-1,-1,-1,4.6,-1,-1,-1,-1,-1,6.25,21.1
36000040,36,9,8.75,-1,9.75,9.75,-1,-1,-1,-1,-1,-1,-1,-1,37.25
36000041,36,8.25,8.25,-1,9.25,8.25,-1,-1,-1,-1,-1,-1,-1,-1,34
36000042,36,4.35,6.25,-1,-1,-1,-1,7.1,8.5,-1,-1,-1,-1,-1,26.2
36000043,36,7,7,7.75,6.5,-1,-1,-1,-1,-1,-1,-1,-1,-1,28.25
36000044,36,5,7.25,-1,-1,-1,-1,6.5,-1,-1,-1,-1,-1,9,27.75
36000045,36,4.6,5.5,-1,-1,-1,-1,6,-1,-1,-1,-1,-1,7.25,23.35
36000046,36,5.75,7,-1,7,5.6,-1,-1,-1,-1,-1,-1,-1,-1,25.35
36000047,36,7.5,7.75,-1,9,7.25,-1,-1,-1,-1,-1,-1,-1,-1,31.5
36000048,36,5.5,9.5,6,-1,-1,-1,-1,8.5,-1,-1,-1,-1,-1,29.5
36000049,36,8.5,7.25,-1,9.5,8.75,-1,-1,-1,-1,-1,-1,-1,-1,34
36000050,36,7,6.75,4,5.6,-1,-1,-1,-1,-1,-1,-1,-1,-1,23.35
36000051,36,6.5,7.75,-1,-1,-1,-1,9.25,9.5,-1,-1,-1,-1,-1,33
36000052,36,3.6,4.25,-1,-1,-1,-1,-1,7.75,-1,-1,-1,-1,10,25.6
36000053,36,4.75,5.5,-1,-1,-1,4.1,6.5,-1,-1,-1,-1,-1,-1,20.85
36000054,36,1.35,4.25,-1,-1,-1,-1,-1,4.5,-1,-1,-1,-1,7.75,17.85
36000055,36,7.5,6,-1,-1,8.75,8.5,-1,-1,-1,-1,-1,-1,-1,30.75
36000056,36,8.5,6.75,9,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,33
36000057,36,3.75,2,-1,-1,-1,-1,7.1,6.75,-1,-1,-1,-1,-1,19.6
36000058,36,3.25,3.25,-1,-1,-1,-1,-1,3.1,-1,-1,-1,-1,6.75,16.35
36000059,36,4.1,7.25,-1,-1,-1,-1,8.5,8.75,-1,-1,-1,-1,-1,28.6
36000060,36,4.45,9.25,5.5,-1,-1,-1,7.5,-1,-1,-1,-1,-1,-1,26.7
36000061,36,4.6,6.5,-1,-1,-1,-1,6.75,6.75,-1,-1,-1,-1,-1,24.6
36000062,36,4.5,6.25,-1,-1,-1,-1,5.5,5.85,-1,-1,-1,-1,-1,22.1
36000063,36,7.25,7.75,6.25,9,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.25
36000064,36,7.5,6.5,8.25,8.75,-1,-1,-1,-1,-1,-1,-1,-1,-1,31
36000065,36,5.25,4,-1,-1,-1,-1,-1,8,-1,-1,-1,-1,8,25.25
36000066,36,4,6.25,-1,-1,-1,-1,5.5,6.75,-1,-1,-1,-1,-1,22.5
36000067,36,8.5,7.75,-1,9.25,8.5,-1,-1,-1,-1,-1,-1,-1,-1,34
36000068,36,8,6.5,8,8,-1,-1,-1,-1,-1,-1,-1,-1,-1,30.5
36000069,36,3.75,5,-1,-1,-1,-1,6.45,-1,-1,-1,-1,-1,7.75,22.95
36000070,36,2.2,3.5,-1,-1,-1,-1,-1,4.35,-1,-1,-1,-1,7.25,17.3
